MolWt,LogP,NumHDonors,NumHAcceptors,pIC50
560.6180000000002,4.219820000000002,3,8,8.745
560.6180000000002,4.219820000000002,3,8,7.0
269.25999999999993,1.9204599999999998,2,4,3.194
186.174,1.20726,2,5,3.648
198.18099999999995,1.84586,0,4,3.456
371.242,4.696200000000003,1,5,7.959
300.402,3.4696800000000017,2,3,4.26
282.259,1.27334,3,7,5.921
224.219,2.2149599999999996,1,3,3.347
495.9460000000001,3.5295200000000007,3,6,8.553
495.9460000000001,3.5295200000000007,3,6,7.0
495.9460000000001,3.5295200000000007,3,6,6.125
497.5590000000004,2.3927199999999997,4,7,7.745
497.5590000000004,2.3927199999999997,4,7,7.398
497.5590000000004,2.3927199999999997,4,7,6.208
370.4560000000002,5.587900000000003,1,5,5.495
171.15899999999996,0.75056,0,3,2.886
200.197,1.8313599999999997,1,4,3.699
511.9890000000001,4.213520000000002,4,6,8.921
511.9890000000001,4.213520000000002,4,6,6.699
511.9890000000001,4.213520000000002,4,6,5.889
292.34600000000006,4.090720000000002,2,5,6.699
357.2150000000001,4.544800000000002,2,5,7.409
306.373,3.802200000000002,1,5,6.317
268.23199999999997,0.9703399999999998,4,7,6.097
243.17799999999994,1.7540600000000002,0,6,3.252
173.17099999999996,1.6781799999999996,1,2,3.071
252.233,1.2647399999999998,3,6,5.602
143.14899999999997,1.4452599999999998,1,2,3.585
495.9460000000002,3.5295200000000007,3,6,6.387
509.97300000000024,3.9643200000000016,4,6,8.229
509.97300000000024,3.9643200000000016,4,6,5.588
414.3110000000001,4.476600000000003,2,6,7.42
292.34600000000006,3.650800000000002,2,5,6.475
397.84100000000007,4.4746400000000035,2,4,4.699
433.31300000000016,6.115200000000003,2,5,7.602
220.253,1.2908799999999998,3,4,5.62
282.387,4.417760000000005,1,3,3.337
355.76000000000005,3.8335000000000017,3,4,4.699
602.6990000000002,4.4144200000000025,4,8,8.959
602.6990000000002,4.4144200000000025,4,8,6.699
602.6990000000002,4.4144200000000025,4,8,5.71
208.16899999999998,0.9448000000000001,3,3,2.824
245.194,1.73956,1,6,3.796
455.8770000000003,4.467540000000002,4,5,6.745
511.9890000000001,4.213520000000002,4,6,6.347
511.9890000000001,4.213520000000002,4,6,6.301
306.3730000000001,4.2421200000000026,1,5,7.62
170.17099999999996,1.8227599999999997,1,3,3.426
401.2680000000001,4.561400000000003,2,6,7.149
205.16899999999998,1.0893799999999998,3,4,4.602
186.17,1.7084599999999999,2,4,3.638
331.129,2.027240000000001,3,6,6.301
145.161,1.9289799999999997,1,2,2.62
279.093,2.5938600000000007,1,4,3.815
442.5150000000003,5.079000000000003,3,3,5.052
366.4170000000002,3.4120000000000017,3,3,4.0
370.45200000000017,5.061800000000003,2,2,4.0
519.4320000000004,6.664680000000005,1,6,5.523
370.4520000000002,5.061800000000003,2,2,4.0
380.4000000000002,3.101600000000002,4,3,4.248
294.3540000000001,3.394800000000002,2,2,4.0
412.48900000000026,5.070400000000004,3,2,4.0
442.5150000000004,5.079000000000003,3,3,4.0
264.328,3.3862000000000023,2,1,4.0
415.2870000000002,4.165900000000002,3,2,4.0
343.4080000000002,2.0336000000000003,3,3,4.0
340.4260000000002,5.053200000000004,2,1,4.0
296.326,2.8330200000000003,3,2,4.0
238.29000000000002,3.1242400000000004,2,1,4.0
370.45200000000017,5.061800000000003,2,2,4.0
308.33700000000016,3.0844000000000014,3,2,4.0
415.4710000000003,2.0508,4,4,4.536
336.39100000000025,3.403400000000002,3,2,4.0
343.22400000000016,4.1487000000000025,2,1,4.0
442.5150000000004,5.079000000000003,3,3,4.0
341.45500000000015,4.059400000000003,3,4,4.301
441.3330000000001,3.6115000000000013,1,6,8.377
441.3330000000001,3.6115000000000013,1,6,5.642
280.33500000000004,2.53782,1,6,8.398
271.71100000000007,3.1252200000000014,1,5,6.42
405.45700000000016,5.974400000000004,2,4,4.0
405.45700000000016,5.974400000000004,2,4,4.301
496.40900000000005,4.377200000000003,1,6,8.481
496.40900000000005,4.377200000000003,1,6,6.712
411.2920000000001,5.528800000000003,1,5,6.699
476.1610000000001,5.8084000000000024,1,5,6.174
427.2910000000001,5.054500000000003,1,6,7.523
631.6100000000001,9.280799999999996,2,6,4.0
412.39200000000017,5.0252000000000026,2,6,4.0
540.4220000000001,2.8641000000000005,3,8,9.092
540.4220000000001,2.8641000000000005,3,8,8.056
540.4220000000001,2.8641000000000005,3,8,8.056
403.3130000000003,5.0469000000000035,1,5,4.301
332.16100000000006,2.9345,1,6,8.42
446.9100000000004,4.275600000000003,1,7,6.288
417.46500000000026,3.8817800000000027,1,7,6.071
363.4630000000001,4.872600000000003,1,4,4.0
252.28100000000003,2.0540199999999995,2,6,7.77
622.7719999999999,7.991200000000005,2,8,5.187
273.28799999999995,2.4965,3,5,5.046
273.244,2.2521999999999998,4,5,4.0
558.8690000000005,5.235100000000005,2,7,8.824
558.8690000000005,5.235100000000005,2,7,8.131
558.8690000000005,5.235100000000005,2,7,8.131
428.2790000000001,4.449500000000002,1,7,5.886
266.308,2.5135200000000006,2,6,8.367
590.7740000000001,8.590840000000002,2,6,4.0
301.29800000000006,2.6436,2,6,4.0
273.28800000000007,2.4965000000000006,3,5,4.699
325.32700000000006,3.839200000000001,3,2,4.0
442.2730000000001,3.588700000000001,2,7,8.824
442.2730000000001,3.588700000000001,2,7,7.292
412.28000000000014,4.309400000000003,1,6,5.301
441.31800000000015,5.3629200000000035,1,6,6.602
444.3370000000004,3.0601000000000003,2,8,8.538
562.7200000000003,7.9740000000000055,2,6,5.0
489.4510000000003,4.131900000000003,1,7,5.347
427.29100000000017,4.538200000000003,2,6,7.046
430.31000000000034,2.67,2,8,9.092
430.31000000000034,2.67,2,8,8.509
327.3430000000001,3.216400000000001,3,2,4.301
618.8280000000002,7.946600000000007,4,4,6.071
252.28100000000003,2.2051,2,6,7.886
361.3570000000001,3.4686000000000003,5,6,5.602
369.22200000000004,4.260400000000002,2,4,9.155
369.22200000000004,4.260400000000002,2,4,8.569
384.2370000000001,4.045500000000002,2,5,9.301
384.2370000000001,4.045500000000002,2,5,8.114
411.29200000000014,4.914400000000003,1,5,4.301
612.7400000000001,7.717360000000005,2,8,4.267
594.7180000000003,7.3852000000000055,4,8,4.0
296.39500000000004,3.3602000000000016,1,2,4.0
357.41300000000007,4.106000000000003,1,4,4.301
384.2370000000001,3.679700000000002,1,5,9.77
384.2370000000001,3.679700000000002,1,5,7.886
526.4390000000001,3.8737000000000013,3,7,9.137
526.4390000000001,3.8737000000000013,3,7,7.678
526.4390000000001,3.8737000000000013,3,7,7.678
590.7740000000001,8.590840000000002,2,6,4.0
652.7140000000003,7.790400000000005,2,10,5.301
678.7919999999999,7.8246000000000056,2,10,4.0
316.81300000000005,3.839500000000002,1,2,4.0
296.3950000000001,4.1525000000000025,1,3,4.0
497.39700000000005,3.7722000000000024,1,7,8.569
497.39700000000005,3.7722000000000024,1,7,6.807
349.22100000000006,3.3683000000000023,0,5,4.301
457.3170000000002,5.063100000000004,1,7,6.481
336.58000000000004,3.579300000000001,1,5,7.086
282.36800000000005,3.1861000000000015,1,2,6.0
257.245,2.546600000000001,3,4,4.699
273.28800000000007,2.4965000000000006,3,5,4.678
363.2480000000001,4.122600000000003,1,5,5.301
331.177,2.967600000000001,2,6,9.119
331.177,2.967600000000001,2,6,7.523
384.2370000000001,4.045500000000002,2,5,8.796
384.2370000000001,4.045500000000002,2,5,7.357
383.2490000000001,4.650500000000003,2,4,9.26
383.2490000000001,4.650500000000003,2,4,8.06
317.15000000000003,2.5081000000000007,2,6,8.824
365.44100000000026,2.2159199999999997,2,8,8.638
257.684,2.8168000000000006,1,5,5.593
485.9470000000004,4.391500000000003,2,7,7.131
441.2850000000001,4.193700000000002,2,6,8.569
441.2850000000001,4.193700000000002,2,6,7.194
513.9610000000004,2.894100000000001,3,8,9.215
513.9610000000004,2.894100000000001,3,8,7.854
513.9610000000004,2.894100000000001,3,8,7.854
413.2640000000001,4.751500000000003,2,6,6.824
511.4090000000003,5.931700000000005,1,7,6.155
411.26700000000017,3.3035999999999994,3,7,9.602
411.26700000000017,3.3035999999999994,3,7,8.292
344.216,3.5969000000000015,1,5,8.585
344.216,3.5969000000000015,1,5,7.921
404.6550000000001,4.2219000000000015,2,5,9.161
404.6550000000001,4.2219000000000015,2,5,7.699
411.25900000000007,4.2196000000000025,2,5,8.921
